VertexCount,IndicesCount,TriangleCount,TotalTime,IndividualTime
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,2
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,4
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,2
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,2
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,2
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,2
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,2
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
54,168,56,1346,1
